"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"UKM00003917","54.658","-6.216","81.7","2022-07-01","13.5","17.8",
"UKM00003917","54.658","-6.216","81.7","2022-07-02","14.2",,"11.0"
"UKM00003917","54.658","-6.216","81.7","2022-07-03","13.3","16.8",
"UKM00003917","54.658","-6.216","81.7","2022-07-04","13.4","17.4",
"UKM00003917","54.658","-6.216","81.7","2022-07-05","14.6","18.1",
"UKM00003917","54.658","-6.216","81.7","2022-07-06","15.3","18.8",
"UKM00003917","54.658","-6.216","81.7","2022-07-07","16.3","22.1","12.8"
"UKM00003917","54.658","-6.216","81.7","2022-07-08","15.8","20.7","11.9"
"UKM00003917","54.658","-6.216","81.7","2022-07-09","16.1","20.9","12.5"
"UKM00003917","54.658","-6.216","81.7","2022-07-10","17.4","21.4",
"UKM00003917","54.658","-6.216","81.7","2022-07-11","18.1","22.7",
"UKM00003917","54.658","-6.216","81.7","2022-07-12","16.7",,
"UKM00003917","54.658","-6.216","81.7","2022-07-13","14.3","18.9",
"UKM00003917","54.658","-6.216","81.7","2022-07-14","15.2","20.1",
"UKM00003917","54.658","-6.216","81.7","2022-07-15","15.1","17.4",
"UKM00003917","54.658","-6.216","81.7","2022-07-16","16.1","21.5",
"UKM00003917","54.658","-6.216","81.7","2022-07-17","20.1","26.6",
"UKM00003917","54.658","-6.216","81.7","2022-07-18","22.9","30.8",
"UKM00003917","54.658","-6.216","81.7","2022-07-19","19.1",,
"UKM00003917","54.658","-6.216","81.7","2022-07-20","14.8","21.4","12.8"
"UKM00003917","54.658","-6.216","81.7","2022-07-21","14.3","18.0",
"UKM00003917","54.658","-6.216","81.7","2022-07-22","14.2","19.9",
"UKM00003917","54.658","-6.216","81.7","2022-07-23","16.7","22.0",
"UKM00003917","54.658","-6.216","81.7","2022-07-24","17.2","21.2",
"UKM00003917","54.658","-6.216","81.7","2022-07-25","14.3","18.7",
"UKM00003917","54.658","-6.216","81.7","2022-07-26","13.6","18.0",
"UKM00003917","54.658","-6.216","81.7","2022-07-27","12.3","17.0",
"UKM00003917","54.658","-6.216","81.7","2022-07-28","13.9","19.4",
"UKM00003917","54.658","-6.216","81.7","2022-07-29","15.3","21.4",
"UKM00003917","54.658","-6.216","81.7","2022-07-30","17.1","21.1",
"UKM00003917","54.658","-6.216","81.7","2022-07-31","14.8","18.6",